iter	Logloss
0	0.6592117385
1	0.6323133206
2	0.6102140064
3	0.5930772394
4	0.5794407912
5	0.5688126227
6	0.5607430417
7	0.5529161637
8	0.5481059184
9	0.5435860709
10	0.540219696
11	0.5369496371
12	0.5341274836
13	0.5316484234
14	0.5293773612
15	0.5277168307
16	0.5263515665
17	0.525230764
18	0.5242395663
19	0.5234690193
20	0.5228675214
21	0.5221253929
22	0.5218115845
23	0.5212658207
24	0.5207793433
25	0.5203416809
26	0.5198680898
27	0.5196072441
28	0.5192466211
29	0.5189389271
30	0.5186716559
31	0.51847543
32	0.5183176282
33	0.51806186
34	0.5178205775
35	0.5176716427
36	0.5175439821
37	0.517451359
38	0.5172898053
39	0.5171607872
40	0.5170572436
41	0.5169768018
42	0.5168637161
43	0.5167215116
44	0.5165981823
45	0.5164773962
46	0.5163788344
47	0.5163114882
48	0.5162123842
49	0.5161343326
50	0.5160208752
51	0.5159666512
52	0.5158800471
53	0.5158471395
54	0.5157807883
55	0.5157505651
56	0.5156828421
57	0.5155814181
58	0.5155380237
59	0.5155159242
60	0.5154557444
61	0.5153974896
62	0.5153514558
63	0.5152771067
64	0.5151775607
65	0.5151596468
66	0.5151290442
67	0.5150896496
68	0.5150725799
69	0.5150595141
70	0.5149970747
71	0.5149437057
72	0.5148995595
73	0.5148058947
74	0.5147719402
75	0.5147385225
76	0.5147154414
77	0.5146686506
78	0.514572887
79	0.5145138481
80	0.5144579247
81	0.5144244277
82	0.5143799155
83	0.5143484799
84	0.5143270365
85	0.5143034097
86	0.5142306751
87	0.5142011136
88	0.5141328834
89	0.5140886077
90	0.5140349478
91	0.5139998371
92	0.5139780202
93	0.5138885747
94	0.5138745802
95	0.5138349421
96	0.5137956731
97	0.5137720317
98	0.5137007872
99	0.5136770888
100	0.5136488452
101	0.5136081083
102	0.5135872593
103	0.5135720169
104	0.513558001
105	0.513526337
106	0.5134653827
107	0.5134420934
108	0.5134119296
109	0.5133775141
110	0.5133236739
111	0.5132691588
112	0.5132030145
