iter	Logloss
113	0.5131655515
114	0.5131299683
115	0.5131011356
116	0.5130513023
117	0.5130240357
118	0.5129910146
119	0.5129596418
120	0.5129078231
121	0.5128840335
122	0.5128532204
123	0.5128191125
124	0.5127519855
125	0.512699362
126	0.5126536566
127	0.512604992
128	0.5125666335
129	0.5125457321
130	0.5125002108
131	0.5124808164
132	0.5124348789
133	0.5124009567
134	0.5123516007
135	0.5122845335
136	0.5122417888
137	0.5121881672
138	0.5121452259
139	0.512099504
140	0.5120701808
141	0.5120339562
142	0.5119960242
143	0.5119418149
144	0.5119023271
145	0.5118511046
146	0.5117978053
147	0.5117627789
148	0.5117199157
149	0.5116777387
150	0.5116306147
151	0.5115804094
152	0.5115423121
153	0.5114819541
154	0.5114496959
155	0.5114070366
156	0.5113708681
157	0.5113295765
158	0.511258864
159	0.5112154093
160	0.5111411361
161	0.5111015228
162	0.5110832242
163	0.5110702294
164	0.5110396602
165	0.5109977214
166	0.5109758399
167	0.5109526609
168	0.5108978508
169	0.51085848
170	0.5108212107
171	0.5107832464
172	0.5107320527
173	0.510709978
174	0.5106703348
175	0.5106032229
176	0.5105739418
177	0.5105324117
178	0.5105174392
179	0.5105156324
180	0.5104752283
181	0.5104259931
182	0.5103858303
183	0.5103487688
184	0.5103112356
185	0.5102803989
186	0.5102421173
187	0.5101950621
188	0.5101666051
189	0.5101072062
190	0.510103289
191	0.5100434287
192	0.5099996508
193	0.5099709263
194	0.5099309644
195	0.5098824712
196	0.5098580072
197	0.5098136456
198	0.509783892
199	0.5097484451
200	0.5097025973
201	0.5096863147
202	0.5096518589
203	0.5096157944
204	0.5095868771
205	0.5095206949
206	0.5094851174
207	0.5094522345
208	0.5094026192
209	0.5093796652
210	0.5093758558
211	0.5093295447
212	0.5093168973
213	0.5093150365
214	0.5093140573
215	0.5093053021
216	0.5093043182
217	0.5092716602
218	0.5092391653
219	0.5092086675
220	0.5091863159
221	0.5091483871
222	0.5091010862
223	0.5090682211
224	0.5090494521
225	0.5090356097
226	0.5090091591
227	0.5089646239
228	0.5089229439
229	0.5089033981
230	0.5088738221
231	0.5088334297
232	0.5088064116
233	0.5087840188
234	0.5087787776
235	0.508758061
236	0.5087231911
237	0.5086785988
238	0.5086451755
239	0.5085967864
240	0.5085731692
241	0.5085303006
242	0.5085105076
243	0.508486398
244	0.508485213
245	0.5084815612
246	0.5084461002
247	0.508408812
248	0.5083561229
249	0.5083376624
250	0.5083345528
251	0.5083011448
252	0.5082545147
253	0.5082455891
254	0.5082365521
255	0.5081941501
256	0.5081800962
257	0.5081596242
258	0.5081369948
259	0.5081002229
260	0.5080719212
261	0.5080465767
262	0.5080448065
263	0.5080323218
264	0.5080293239
265	0.5079932501
266	0.5079550257
267	0.5079509687
268	0.5079439284
269	0.5079078892
270	0.5078812973
271	0.5078631944
272	0.5078487128
273	0.5078182288
274	0.5078110212
275	0.5078043799
276	0.5078022402
277	0.5077734219
278	0.5077348531
279	0.5076900792
280	0.5076523676
281	0.507596343
282	0.5075801243
283	0.5075462334
284	0.5075308388
285	0.5074689499
286	0.5074586155
287	0.5074365194
288	0.5074054162
289	0.5073967287
290	0.5073703616
291	0.5073437204
292	0.5073352585
293	0.5073057028
294	0.5072659886
295	0.5072279799
296	0.5071863868
297	0.5071506062
298	0.507108307
299	0.5070914032
300	0.5070365134
301	0.5069932042
302	0.5069668154
303	0.5069389914
304	0.5069063954
305	0.5068730725
306	0.5068339573
307	0.5068008083
308	0.5067708477
309	0.5067523062
310	0.5067434827
311	0.506721712
312	0.5066863114
313	0.5066767504
314	0.5066729004
315	0.5066631169
316	0.5066477817
317	0.5066183761
318	0.5065858268
319	0.5065475131
320	0.5065112682
321	0.5064697247
322	0.5064378217
323	0.5064088501
324	0.5064039529
325	0.506386166
326	0.5063707069
327	0.506369914
328	0.5063212049
329	0.5063078715
330	0.5062951516
331	0.5062716708
332	0.5062373405
333	0.5061899387
334	0.5061604828
335	0.5061460849
336	0.5061168538
337	0.5060693401
338	0.5060345807
339	0.5059875321
340	0.5059412505
341	0.5059084133
342	0.5058764311
343	0.5058446636
344	0.5058074099
345	0.5057927716
346	0.5057587436
347	0.5057381258
348	0.5057038334
349	0.505676103
350	0.5056547903
351	0.5056325251
352	0.505610208
353	0.5055751834
354	0.505543031
355	0.5055027761
356	0.505476716
357	0.5054515591
358	0.5054179938
359	0.5054038935
360	0.5053716861
361	0.5053640524
362	0.5053489245
363	0.5053220063
364	0.5052848271
365	0.5052470619
366	0.5052333572
367	0.5051952319
368	0.50516099
